,time,open,high,low,close,volume
129,2024-07-12,70.23,70.43,69.34,70.13,1140145
130,2024-07-15,70.13,71.32,69.44,71.02,1226928
131,2024-07-16,71.02,72.89,70.53,72.89,1126867
132,2024-07-17,72.99,74.67,68.06,71.22,2125888
133,2024-07-18,71.22,71.61,68.65,71.02,1609329
134,2024-07-19,71.02,71.02,69.34,69.34,930742
135,2024-07-22,69.05,69.34,67.57,67.57,1539493
136,2024-07-23,67.47,69.05,67.17,67.37,1222031
137,2024-07-24,67.08,68.06,65.1,68.06,1138107
138,2024-07-25,67.86,69.84,67.47,69.54,1050377
139,2024-07-26,69.54,70.53,69.44,70.03,1053163
140,2024-07-29,70.43,70.92,69.34,70.53,570790
141,2024-07-30,70.03,70.23,67.57,69.54,2000914
142,2024-07-31,68.06,68.65,66.88,68.65,2042585
143,2024-08-01,68.46,68.46,65.1,66.98,1598854
144,2024-08-02,64.91,69.34,64.91,69.34,1562939
145,2024-08-05,67.86,67.86,64.51,64.51,1152417
146,2024-08-06,64.61,66.19,64.31,65.79,662287
147,2024-08-07,66.09,66.29,64.91,64.91,427579
148,2024-08-08,64.91,66.38,64.81,65.4,486844
149,2024-08-09,66.29,66.38,65.69,66.09,545300
150,2024-08-12,66.09,68.55,66.09,67.96,822176
151,2024-08-13,67.86,68.06,66.09,66.88,727785
152,2024-08-14,67.57,68.55,66.58,68.06,691646
153,2024-08-15,68.06,68.16,66.48,66.58,575484
154,2024-08-16,66.68,68.95,66.68,68.95,1121059
155,2024-08-19,68.95,70.33,68.65,69.34,968709
156,2024-08-20,69.34,69.44,68.36,68.95,738417
157,2024-08-21,69.25,69.74,68.55,69.15,747580
158,2024-08-22,69.64,69.64,68.65,68.75,604774
159,2024-08-23,68.55,69.74,68.55,69.64,888460
160,2024-08-26,70.33,70.63,68.46,69.05,678177
161,2024-08-27,68.65,69.05,67.47,67.67,694135
162,2024-08-28,67.77,68.06,67.27,67.67,531151
163,2024-08-29,67.57,68.06,67.47,68.06,329921
164,2024-08-30,67.77,68.26,67.57,67.67,342819
165,2024-09-04,67.08,67.17,66.09,66.09,771476
166,2024-09-05,66.19,66.58,64.21,64.41,1122537
167,2024-09-06,64.12,65.0,62.93,64.71,934374
168,2024-09-09,64.81,65.89,64.71,65.2,510059
169,2024-09-10,65.4,65.6,64.02,64.12,656484
170,2024-09-11,64.12,65.1,64.02,64.21,493269
171,2024-09-12,65.0,65.0,64.21,64.81,281840
172,2024-09-13,64.81,65.1,64.61,64.81,261429
173,2024-09-16,64.91,64.91,63.82,63.82,567485
174,2024-09-17,64.12,64.12,63.23,64.02,834652
175,2024-09-18,64.12,65.1,64.12,64.91,638386
176,2024-09-19,65.1,65.6,64.91,65.2,478001
177,2024-09-20,65.6,66.29,65.6,65.69,846625
178,2024-09-23,65.89,66.09,65.69,65.79,492915
179,2024-09-24,65.79,66.09,65.5,65.69,459452
180,2024-09-25,65.99,66.88,65.69,66.58,689545
181,2024-09-26,66.98,67.27,66.48,66.48,567073
